RATING,TITLE,CREDIT,BOX OFFICE,YEAR
83,Avengers: Infinity War,Steve Rogers/Captain America,665,2018
91,Captain America: Civil War,Steve Rogers/Captain America,408.1,2016
75,Avengers: Age of Ultron,Steve Rogers/Captain America,429.2,2015
95,Snowpiercer,Curtis,2.8,2014
89,Captain America: The Winter Soldier,Captain America/Steve Rogers,228.7,2014
67,The Iceman,Mr. Freezy,1.9,2013
92,Marvel's The Avengers,Steve Rogers/Captain America,623.3,2012
24,What's Your Number?,Colin Shea,14.1,2011
79,Captain America: The First Avenger,Captain America/Steve Rogers,176.7,2011
82,Scott Pilgrim vs. the World,Lucas Lee,31.5,2010
48,The Losers,Jensen,23.4,2010
48,Battle For Terra,Stewart Stanton,1.7,2009
23,Push,Nick Gant,31.8,2009
36,Street Kings,Detective Paul Diskant,26.4,2008
34,The Nanny Diaries,Harvard Hottie--Hayden,25.9,2007
76,Sunshine,Mace,3.8,2007
37,Fantastic Four: Rise of the Silver Surfer,Johnny Storm,131.8,2007
34,TMNT,Casey,54.2,2007
27,Fantastic Four,Johnny Storm,154.5,2005
55,Cellular,Ryan,32.1,2004
17,The Perfect Score,Kyle,10.3,2004
30,Not Another Teen Movie,Jake,37.9,2001
